name,country,city,employees,bucket,source,specialty,build_signal,source_url,oncology_tags,tier,score,score_breakdown,exclusion_reason,growth_12m_pct,growth_3m_pct,follower_growth_12m_pct,last_funding_round,last_funding_date,total_investment_usd,role_eng_pct,role_ops_pct,role_research_pct,role_qa_pct,rev_lower_usd,rev_higher_usd,founded_year,acquisition_status,ipo_date,follower_count,linkedin_id_resolved
HAWE Hydraulik,DEU,Aschheim,854,vaccines,crustdata,Machinery Manufacturing / An aerial ladder for the fire brigade that transports the fireman to dizzying he,0.2347417840375587% growth,https://www.hawe.com/,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,0.2347417840375587,1.7878426698450536,0.0,,,0,,,,,500000000,1000000000,,,,24070,1602273
hameln pharma plus GmbH (Siegfried),DEU,Hameln,850,sterile_generics,research,,EUR 80M Hameln high-speed ampoule line + lyo doubling 2024–26,hameln-pharma.com,,Tier 2,5,industry=3/3 capability=0/2 size=2/2 trigger=0/2,,12.5,2.857142857142857,57.939189189189186,,,0,,,,,10000000,20000000,,,,935,84029213
Datamars,CHE,Switzerland,849,veterinary_pharma,crustdata,Software Development / Welcome to Datamars. We are a global data solutions company with a 30+ year lega,0.3546099290780142% growth,http://www.datamars.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,0.3546099290780142,0.9512485136741973,14.100667832011116,grant,2023-09-18,8942961,,,,,500000000,1000000000,1988,,,25457,81496
VITRONIC Machine Vision,DEU,Wiesbaden,844,vaccines,crustdata,"Automation Machinery Manufacturing / VITRONIC is the world's leading innovation driver for industrial machine vision,",4.069050554870531% growth,https://www.vitronic.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,4.069050554870531,0.5959475566150179,0.0,,,0,,,,,500000000,1000000000,1984,acquired,,17658,127426
Bionorica SE,DEU,Neumarkt in der Oberpfalz,841,"medical_cannabis,originator_pharma",crustdata+research+research+research+research,Pharmaceutical Manufacturing / Bionorica is one of the leading manufacturers of herbal remedies in the world. O,No active THC programs (sold 2019); herbal-API GMP manufacturer reference for cannabis-adjacent lab/PAS,https://bionorica.com/,,Tier 2,5,industry=2/3 capability=1/2 size=2/2 trigger=0/2,,4.9937578027465666,0.35799522673031026,30.76923076923077,,,0,,,,,500000000,1000000000,1933,,,16065,6520553
CSL Plasma Deutschland GmbH,DEU,Göttingen / nationwide,~800 (est.),plasma_fractionation,research,Collection,,https://www.csl.com/we-are-csl/our-businesses-and-products/csl-behring/csl-plasma,,Tier 2,5,industry=3/3 capability=0/2 size=2/2 trigger=0/2,,0.0,0.0,0.0,,,,,,,,500000,1000000,1990,,,5,73824236
MaibornWolff GmbH,DEU,Munich,753,vaccines,crustdata,"IT Services and IT Consulting / MaibornWolff has been inspiring clients from all industries in IT consulting, so",-11.723329425556859% growth,https://www.maibornwolff.de,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,-11.723329425556859,-2.7131782945736433,17.450903597605326,,,0,,,,,500000000,1000000000,1989,,,20992,8738045
SCHERDEL,DEU,Marktredwitz,709,vaccines,crustdata,"Automotive / Employees: approx. 7000 Locations: 35, 11 of which are in the greater Marktredwi",4.418262150220913% growth,http://www.scherdel.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,4.418262150220913,1.2857142857142856,115.07481987807131,,,0,,,,,1000000000,1000000000000,,,,11642,5082360
BENEO,DEU,Mannheim,695,veterinary_pharma,crustdata,Food and Beverage Manufacturing / BENEO – Connecting nutrition and health BENEO offers a range of nutrients with h,3.422619047619048% growth,http://www.beneo.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,3.422619047619048,0.5788712011577424,30.134188539117226,,,0,,,,,500000000,1000000000,2007,,,77098,981087
Bender,DEU,Grünberg,672,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / Bender is one of the world's leading providers of solutions that make electrical",1.8181818181818181% growth,https://www.bender.de/en/,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,1.8181818181818181,0.9009009009009009,12.680691522599458,,,0,,,,,500000000,1000000000,1946,,,27049,12232707
WEISS Group,DEU,Buchen,667,vaccines,crustdata,"Automation Machinery Manufacturing / With its automation solutions, WEISS GmbH is one of the world’s leading system s",3.894080996884735% growth,http://www.weiss-world.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,3.894080996884735,0.0,0.0,,,0,,,,,100000000,500000000,1967,,,6943,17999362
Austrian Agency for Health and Food Safety,AUT,Vienna,654,veterinary_pharma,crustdata,Research Services / The Austrian Agency for Health and Food Safety (AGES) is a company of the Republ,5.9967585089141% growth,http://www.ages.at,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,5.9967585089141,0.7704160246533128,43.413779893832434,,,0,,,,,500000000,1000000000,2002,,,26206,1015109
G. Pohl-Boskamp,DEU,Hohenlockstedt + Dägeling,~650,"originator_pharma,sterile_generics",research,"NYDA, GeloMyrtol forte (respiratory, cardio, anti-parasitic, DiGA)",Continuous production-line investment; M&A Kalmeda 2023,https://www.pohl-boskamp.de/en/about-us/company,,Tier 2,5,industry=3/3 capability=0/2 size=2/2 trigger=0/2,,10.550458715596331,0.4166666666666667,38.611713665943604,,,0,,,,,500000000,1000000000,,,,3834,2349723
Vetmeduni,AUT,Vienna,647,veterinary_pharma,crustdata,Higher Education / Die Veterinärmedizinische Universität Wien (Vetmeduni) ist die einzige universit,1.09375% growth,http://www.vetmeduni.ac.at,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,1.09375,1.09375,25.424567188788128,,,0,,,,,500000000,1000000000,,,,7607,947305
RAFI Group,DEU,Berg,632,vaccines,crustdata,"Appliances, Electrical, and Electronics Manufacturing / RAFIs has been one of the world's leading suppliers of human-machine communicati",3.2679738562091507% growth,http://www.rafi-group.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,3.2679738562091507,1.282051282051282,21.311475409836063,,,0,,,,,500000000,1000000000,1990,acquired,,8658,3848490
HEIDENHAIN,DEU,Traunreut,622,vaccines,crustdata,"Automation Machinery Manufacturing / DR. JOHANNES HEIDENHAIN GmbH develops and produces linear encoders, angle encode",2.302631578947368% growth,https://www.heidenhain.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,2.302631578947368,0.8103727714748784,47.877179681576955,,,0,,,,,500000000,1000000000,1965,,,7802,68551555
"Swiss Federal Institute for Forest, Snow and Landscape Research WSL",CHE,Birmensdorf (ZH),611,academic_gmp,crustdata,"Research Services / The Swiss Federal Institute for Forest, Snow and Landscape Research WSL provides",7.005253940455342% growth,http://www.wsl.ch,,Tier 2,5,industry=1/3 capability=1/2 size=2/2 trigger=1/2,,7.005253940455342,0.4934210526315789,0.0,,,0,,,,,500000000,1000000000,,,,16462,38225
BioLife Plasmazentrum (Takeda),AUT,Vienna (multiple),"~600 (AT, est.)",plasma_fractionation,research,Collection,,https://www.plasmazentrum.at/plasmazentren/,,Tier 2,5,industry=3/3 capability=0/2 size=2/2 trigger=0/2,,,,,,,,,,,,,,,,,,
Medios AG (Bedrocan DE distributor + GMP packaging),DEU,Berlin,~600 (group),medical_cannabis,research,Specialty pharma — Bedrocan exclusive DE/AT/IT/ES/BE distributor; GMP packaging,Exclusive Bedrocan rights 2024; integration with Cannaflos network,https://bedrocan.com/medios-ag-becomes-bedrocans-exclusive-distribution-partner-for-germany/,,Tier 2,5,industry=2/3 capability=1/2 size=2/2 trigger=0/2,,1.2048192771084338,-1.1764705882352942,12.265693797962008,,,0,,,,,20000000,50000000,1984,,2014-08-25,8924,7108107
Octapharma Plasma GmbH,DEU,Langenfeld,~600–800 (est.),plasma_fractionation,research,Collection,,https://www.octapharmaplasma.de/,,Tier 2,5,industry=3/3 capability=0/2 size=2/2 trigger=0/2,,,,0.0,,,,,,,,0,0,,,,2,91228939
Starrag,CHE,Rorschacherberg,559,vaccines,crustdata,Machinery Manufacturing / Starrag is a global technology leader in manufacturing high-precision machine to,-0.17857142857142858% growth,http://www.starrag.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,-0.17857142857142858,1.6363636363636365,0.0,,,0,,,,,500000000,1000000000,,,,21224,5370972
knoell,DEU,Mannheim,556,veterinary_pharma,crustdata,"Environmental Services / Founded in 1996, knoell is an independent provider of global regulatory services",0.18018018018018017% growth,http://www.knoell.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,0.18018018018018017,-0.35842293906810035,15.648991251562222,,,,,,,,100000000,500000000,1996,,,12955,685355
Bilfinger Life Science,AUT,Puch bei Hallein,553,bioprocess_vendors,crustdata+research,"Machinery Manufacturing / Bioreactor Systems, Fermentation Plants, Piping & Co.Plant engineering at its be",2.4074074074074074% growth,https://lifescience.bilfinger.com,,Tier 2,5,industry=0/3 capability=2/2 size=2/2 trigger=1/2,,2.4074074074074074,0.18115942028985507,0.0,,,,,,,,500000000,1000000000,1955,,,10633,9730543
ISRA VISION,DEU,Darmstadt,548,vaccines,crustdata,"Automation Machinery Manufacturing / Machine Vision is one of the key technologies for industrial digitization, and I",-0.9041591320072333% growth,https://www.isravision.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,-0.9041591320072333,3.787878787878788,9.124731695683282,,,0,,,,,500000000,1000000000,1985,,,22878,377135
Bayer Animal Health,DEU,Monheim,537,veterinary_pharma,crustdata,Veterinary / Elanco’s combination with Bayer Animal Health brings together 166 years of exper,5.9171597633136095% growth,https://www.elanco.com/,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,5.9171597633136095,2.2857142857142856,0.0,,,0,,,,,500000000,1000000000,,acquired,,151735,5012620
Berlin Institute of Health,DEU,Berlin,528,academic_gmp,crustdata,Research Services / The Berlin Institute of Health (BIH) is a biomedical research institution focusi,-0.37735849056603776% growth,http://www.bihealth.org,,Tier 2,5,industry=1/3 capability=1/2 size=2/2 trigger=1/2,,-0.37735849056603776,0.9560229445506693,0.0,,,0,,,,,100000000,500000000,2013,,,19272,10636982
BENNING,DEU,Bocholt,515,vaccines,crustdata,"Electrical Equipment Manufacturing / Sustainability, Safety and Efficiency through InnovationsFor more than half a ce",4.040404040404041% growth,https://www.benning.de/benning-group.html,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,4.040404040404041,0.9803921568627451,0.0,,,0,,,,,100000000,500000000,1938,,,4770,6059065
Desitin Arzneimittel GmbH,DEU,Hamburg,~500,specialty_orphan,research,"CNS rare: Dravet, Wilson's, cystinuria, myasthenia gravis, TSC angiofibromas (Pascomer)",Own GMP production plant in Hamburg,https://desitinpharma.com/about-desitin/,,Tier 2,5,industry=2/3 capability=1/2 size=2/2 trigger=0/2,,3.4722222222222223,1.3605442176870748,33.11751375849789,,,0,,,,,50000000,100000000,1919,,,4112,5436511
Dr. Friedrich Eberth Arzneimittel,DEU,Ursensollen,500,sterile_generics,research,,EUR 15M ampoule line 2024,eberth-arzneimittel.de,,Tier 2,5,industry=3/3 capability=0/2 size=2/2 trigger=0/2,,0.0,0.0,17.857142857142858,,,0,,,,,0,0,1916,,,33,12292079
Tenthpin,CHE,Basel,470,veterinary_pharma,crustdata,Business Consulting and Services / We are a global boutique consultancy – 100% focused on Life Sciences. We create ,5.617977528089887% growth,https://tenthpin.com/,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,5.617977528089887,0.0,0.0,,,0,,,,,20000000,50000000,2017,,,14409,11140503
Zimmer Group,DEU,Rheinau,465,vaccines,crustdata,"Industrial Automation / ZIMMER Group is based in Rheinau – Freistett, Germany and is a family-owned and ",4.260089686098654% growth,http://www.zimmer-group.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,4.260089686098654,1.3071895424836601,23.017861032454803,,,0,,,,,500000000,1000000000,1980,,,22591,3318276
Sumitomo (SHI) Demag,DEU,Schwaig,458,vaccines,crustdata,Machinery Manufacturing / Times may change. But here at Sumitomo (SHI) Demag our dedication to quality man,-1.293103448275862% growth,http://www.sumitomo-shi-demag.eu,,Excluded,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,industrial_false_positive,-1.293103448275862,-0.6507592190889371,17.048816568047336,,,0,,,,,500000000,1000000000,,,,28485,5097327
MATISA Matériel Industriel S.A.,CHE,Crissier,413,vaccines,crustdata,"Machinery Manufacturing / We Are MATISAAt MATISA, we combine pragmatism, reliability, and dynamism to engi",4.556962025316456% growth,https://www.matisa.ch/,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,4.556962025316456,2.9925187032418954,0.0,,,0,,,,,20000000,50000000,1945,,,12590,1665233
DHU – Deutsche Homöopathie-Union (Schwabe),DEU,Karlsruhe,~400,originator_pharma,research,Homeopathic singles + Schüßler salts,Terra Medica 15.5 ha plant cultivation expansion,https://karriere.schwabe-group.com/unternehmen/dhu/,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,,,,,,,,,,,,,,,,,
Interregionale Blutspende SRK,CHE,Bern / Biel / Lausanne / Epalinges,~400,plasma_fractionation,research,Collection / processing,,https://www.itransfusion.ch/,,Tier 2,5,industry=3/3 capability=0/2 size=2/2 trigger=0/2,,0.0,-0.7936507936507936,22.946175637393768,,,,,,,,20000000,50000000,,,,868,11257712
Schwabe Group,DEU,Karlsruhe,400,"originator_pharma,specialty_orphan",crustdata+research,Pharmaceutical Manufacturing / The Schwabe Group comprises several different affiliated companies in the pharma,>€35m/yr R&D; ongoing Ettlingen semi-solid capacity,https://www.schwabe-group.com/,,Tier 2,5,industry=2/3 capability=1/2 size=2/2 trigger=0/2,,1.2658227848101267,-0.24937655860349126,35.681304646821886,,,0,,,,,500000000,1000000000,,,,13811,419953
Dr. R. Pfleger Arzneimittel,DEU,Bamberg,~390 (280 in Bamberg),originator_pharma,research,"Urology, dermatology, gynecology, OTC pain & hair",GMP plant ongoing modernization; >60 SKUs,https://www.kade.de cross / https://www.bionity.com/en/companies/1039465/,,Tier 2,5,industry=2/3 capability=1/2 size=2/2 trigger=0/2,,,,,,,,,,,,,,,,,,
Hosokawa Alpine Aktiengesellschaft,DEU,Augsburg,388,vaccines,crustdata,Industrial Machinery Manufacturing / PROCESS TECHNOLOGIES FOR TOMORROW - OUR DAILY MOTIVATIONHOSOKAWA ALPINE is the l,3.7433155080213902% growth,https://www.hosokawa-alpine.com/,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,3.7433155080213902,1.0416666666666665,24.19737663960025,,,0,,,,,500000000,1000000000,,,,9942,3491458
LMT Tools,DEU,Lahr,388,vaccines,crustdata,Industrial Machinery Manufacturing / LMT Tools is one of the leading experts in the development and production of pre,1.0416666666666665% growth,http://www.lmt-tools.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,1.0416666666666665,0.5181347150259068,14.11476747348382,,,0,,,,,500000000,1000000000,1908,,,16784,18101255
EW Nutrition,DEU,Visbek,385,veterinary_pharma,crustdata,"Animal Feed Manufacturing / EW Nutrition is an animal nutrition company that offers integrators, feed produc",7.5418994413407825% growth,http://ew-nutrition.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,7.5418994413407825,1.3157894736842104,22.99656842955188,,,0,,,,,50000000,100000000,2003,,,48746,4797166
GL Pharma,AUT,Lannach,371,"originator_pharma,specialty_orphan",crustdata+research,"Pharmaceutical Manufacturing / GL Pharma is a proudly independent Austrian pharmaceutical company, powered by s",API+FDF own manufacturing; ongoing capacity additions,https://gl-pharma.com/,,Tier 2,5,industry=2/3 capability=1/2 size=2/2 trigger=0/2,,13.109756097560975,3.9215686274509802,0.0,,,0,,,,,500000000,1000000000,1947,,,6031,6451126
BizLink Factory Automation & Machinery,DEU,Hannover,363,vaccines,crustdata,Automation Machinery Manufacturing / BizLink Factory Automation & Machinery belongs to BizLink Group: https://www.lin,10.0% growth,https://factory-automation-machinery.bizlinktech.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,10.0,1.680672268907563,8.259175245739545,,,,,,,,1000000000,1000000000000,,,,18613,30766839
Hennecke GROUP,DEU,Sankt Augustin,363,vaccines,crustdata,"Machinery Manufacturing / The Hennecke GROUP – machines, systems and technologies for highly efficient pol",1.9662921348314606% growth,http://www.hennecke-group.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,1.9662921348314606,0.8333333333333334,22.056581399288497,,,0,,,,,100000000,500000000,1945,acquired,,7205,1418012
Behn Meyer Group,DEU,Hamburg,360,veterinary_pharma,crustdata,Chemical Manufacturing / The Behn Meyer Group of Companies dates back to 1840 when two young men from Ham,5.571847507331378% growth,https://www.behnmeyer.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,5.571847507331378,1.1235955056179776,0.0,,,0,,,,,500000000,1000000000,,,,16629,31276225
Bichsel AG,CHE,Interlaken,350,"medical_cannabis,sterile_generics",research,Pharma compounding & cannabis magistral preparations,CHF 25M BFS line 2025,bichsel.ch,,Tier 2,5,industry=3/3 capability=0/2 size=2/2 trigger=0/2,,,,,,,,,,,,0,0,,,,,65252015
Haupt Pharma Münster (Aenova),DEU,Münster,~350,sterile_generics,research,"Sterile suspensions, ampoules, vials",,https://www.aenova-group.com,,Tier 2,5,industry=3/3 capability=0/2 size=2/2 trigger=0/2,,7.698541329011345,0.834597875569044,0.0,,,0,,,,,500000000,1000000000,2008,acquired,,28420,5266319
pester pac automation GmbH,DEU,Wolfertschwenden,346,vaccines,crustdata,Machinery Manufacturing / We are pioneers and trendsetters. We have been giving new impetus to end-of-line,3.903903903903904% growth,http://www.pester.com/,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,3.903903903903904,0.8746355685131195,17.05109489051095,,,0,,,,,100000000,500000000,,,,8018,552007
Pharma Mar (Germany office),ES HQ; DE,Köln (DE office),~340 group,specialty_orphan,research,"Rare onco — Yondelis (soft-tissue sarcoma), Zepzelca (SCLC)",Own marine-derived biotech mfg in Madrid; DE = commercial,https://www.orpha.net/,,Excluded,5,industry=2/3 capability=1/2 size=2/2 trigger=0/2,non_target_country,,,,,,,,,,,,,,,,,
Fraunhofer IPK,DEU,Berlin,336,vaccines,crustdata,"Research Services / With the help of application-oriented research, we develop solutions along the e",-2.0408163265306123% growth,https://www.ipk.fraunhofer.de/de/ueber-uns.html,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,-2.0408163265306123,0.2985074626865672,19.581089168162777,,,0,,,,,50000000,100000000,1976,,,9991,1322962
Retarus,DEU,Munich,334,vaccines,crustdata,"Software Development / Digital transformation is changing processes and supply chains, products and com",-2.623906705539359% growth,http://www.retarus.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,-2.623906705539359,-2.0527859237536656,16.301518438177876,,,0,,,,,50000000,100000000,1992,,,10723,109913
OPEN MIND Technologies AG,DEU,Wessling,333,vaccines,crustdata,Software Development / OPEN MIND is one of the world’s most sought-after developers of powerful CAM sol,2.4615384615384617% growth,http://www.openmind-tech.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,2.4615384615384617,-0.29940119760479045,15.10572777663724,,,0,,,,,50000000,100000000,1994,,,28034,130286
Fraunhofer IAIS,DEU,Sankt Augustin,316,vaccines,crustdata,"Research Services / As part of the largest organization for application-oriented research in Europe,",0.6369426751592357% growth,https://www.iais.fraunhofer.de/,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,0.6369426751592357,1.282051282051282,22.829103885804916,,,,,,,,50000000,100000000,2016,,,12391,690761
Thermoplan AG,CHE,Weggis,315,vaccines,crustdata,Machinery Manufacturing / Thermoplan AG was founded by Esther and Domenic Steiner in 1974. Originally dedi,5.0% growth,http://www.thermoplan.ch,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,5.0,2.941176470588235,21.838645606734133,,,0,,,,,500000000,1000000000,1974,,,12882,9640059
OKE Group GmbH,DEU,Hörstel,304,vaccines,crustdata,Motor Vehicle Manufacturing / The OKE Group develops and produces sophisticated technical plastic components e,3.754266211604096% growth,https://www.oke-group.com/,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,3.754266211604096,1.6722408026755853,15.600814663951121,,,0,,,,,500000000,1000000000,1961,,,5676,1169154
Max Planck Institute for Human Development,DEU,Berlin,301,vaccines,crustdata,Research Services / The Max Planck Institute for Human Development is dedicated to the study of huma,11.818181818181818% growth,http://www.mpib-berlin.mpg.de/,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,9.454545454545455,1.3468013468013467,52.240546393469934,,,,,,,,20000000,50000000,1963,,,9139,823973
Ilapak Packaging Machinery,CHE,Grancia,300,vaccines,crustdata,"Machinery Manufacturing / As one of the world’s leading manufacturers, IMA ILAPAK, with its vast range of ",-0.9900990099009901% growth,http://ilapak.com/,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,-0.9900990099009901,0.0,0.0,,,0,,,,,500000000,1000000000,,,,19721,132663
Plasma Service Europe GmbH (Biotest),DEU,Dreieich / Rostock,~300 (est.),plasma_fractionation,research,Collection,,https://www.plasmaservice.de/,,Tier 2,5,industry=3/3 capability=0/2 size=2/2 trigger=0/2,,19.047619047619047,6.382978723404255,51.36268343815513,,,0,,,,,20000000,50000000,2001,,,722,12562424
Schaerer Ltd,CHE,Zuchwil,296,vaccines,crustdata,"Food and Beverage Services / Founded in 1892 and headquartered in Zuchwil, Switzerland, Schaerer AG is one of",-1.3333333333333335% growth,https://www.schaerer.com/,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,-1.3333333333333335,1.023890784982935,0.0,,,0,,,,,100000000,500000000,,acquired,,11611,1135982
Liebherr Gear Technology and Automation Systems,DEU,Kempten,289,vaccines,crustdata,Machinery Manufacturing / Welcome to the Liebherr Gear Technology and Automation Systems page! Liebherr is,-1.0273972602739725% growth,https://www.liebherr.com/en/usa/products/gear-technology-and-automation-systems/gear-technology-and-automation-systems.html,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,-1.0273972602739725,-0.3448275862068966,14.24821897262842,,,,,,,,500000000,1000000000,1969,,,15235,40888900
Fraunhofer IGD,DEU,Darmstadt,285,vaccines,crustdata,Research Services / Fraunhofer IGD is the international leading institute for applied research in vi,4.395604395604396% growth,http://www.igd.fraunhofer.de,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,4.395604395604396,1.0638297872340425,30.515916575192097,,,,,,,,10000000,20000000,1988,,,5945,5642
voestalpine Rotec Group,AUT,Krieglach,284,vaccines,crustdata,Motor Vehicle Manufacturing / voestalpine Rotec is an international group of companies that has specialised in,-0.6993006993006993% growth,http://www.voestalpine.com/rotec,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,-0.6993006993006993,0.35335689045936397,0.0,,,,,,,,500000000,1000000000,,,,6422,19129747
Bavarian Health and Food Safety Authority (LGL),DEU,Erlangen,283,veterinary_pharma,crustdata,Government Administration / The Bavarian Health and Food Safety Authority (LGL) is Bavaria’s central authori,16.46090534979424% growth,www.lgl.bayern.de,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,16.46090534979424,1.7985611510791366,86.23751387347392,,,0,,,,,0,0,2002,,,3356,100595014
Schlütersche Verlagsgesellschaft mbH & Co. KG,DEU,Hannover,279,veterinary_pharma,crustdata,Book and Periodical Publishing / Von der Tradition in die Moderne: Die Schlütersche ist seit über 270 Jahren in d,4.887218045112782% growth,https://schluetersche.de,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,4.887218045112782,0.7220216606498195,37.03484937979917,,,0,,,,,50000000,100000000,,,,2320,7317741
Biochem - Feed Safety for Food Safety®,DEU,Lohne,278,veterinary_pharma,crustdata,"Animal Feed Manufacturing / Biochem, headquartered in Lohne, Germany, is an innovative animal nutrition comp",6.513409961685824% growth,https://www.biochem.net,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,6.513409961685824,0.7246376811594203,42.69487200592641,,,0,,,,,20000000,50000000,1986,,,17336,808542
Axel Springer National Media & Tech GmbH & Co. KG,DEU,Berlin,276,vaccines,crustdata,Book and Periodical Publishing / Axel Springer National Media & Tech is a company of Axel Springer SE. As a futur,-9.803921568627452% growth,https://career.axelspringer.com/de/national-media-tech,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,-9.803921568627452,-1.0752688172043012,0.0,,,,,,,,20000000,50000000,2020,,,8621,67998221
"Bundesministerium für Landwirtschaft, Ernährung und Heimat",DEU,Berlin,271,veterinary_pharma,crustdata,Government Administration / Herzlich willkommen auf der LinkedIn-Seite des Bundesministeriums für Landwirtsc,7.5396825396825395% growth,http://www.bmleh.de,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,7.5396825396825395,3.8314176245210727,0.0,,,,,,,,0,0,1949,,,14165,78995537
Tebis,DEU,Krailling,269,vaccines,crustdata,"Software Development / For over 40 years, Tebis has provided CAD/CAM and MES software solutions for mod",2.6717557251908395% growth,http://www.tebis.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,2.6717557251908395,-0.3703703703703704,15.954941767962833,,,0,,,,,50000000,100000000,1984,,,18220,12205735
Bosch Connected Industry,DEU,Stuttgart,268,vaccines,crustdata,Information Technology & Services / Bosch Connected Industry is Bosch’s software and AI house for manufacturing comp,-3.597122302158273% growth,https://www.bosch-connected-industry.com/de/en/contact,,Excluded,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,industrial_false_positive,-3.597122302158273,0.7518796992481203,11.83506641822444,,,0,,,,,500000000,1000000000,2018,,,18606,11502372
mindit.io,CHE,Zug,263,vaccines,crustdata,Software Development / AI & Data Transformation Partner for Business GrowthWe are the partner of choice,5.622489959839357% growth,http://www.mindit.io,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,5.622489959839357,0.7662835249042145,16.88039457459926,,,0,,,,,20000000,50000000,2015,,,18958,5359695
ModuleWorks,DEU,Aachen,262,vaccines,crustdata,"Software Development / ModuleWorks is at the forefront of digital manufacturing software, playing a key",-0.38022813688212925% growth,http://www.moduleworks.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,-0.38022813688212925,0.38314176245210724,23.106733408687226,,,0,,,,,50000000,100000000,2003,,,7624,231773
Alzchem Group AG,DEU,Trostberg an der Alz,258,veterinary_pharma,crustdata,Chemical Manufacturing / Alzchem is a globally active specialty chemicals company that is one of the mark,6.6115702479338845% growth,http://www.alzchem.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,6.6115702479338845,-0.3861003861003861,0.0,,,0,,,,,500000000,1000000000,1908,,,6966,1591734
Zapp Precision Metals GmbH,DEU,Schwerte,258,vaccines,crustdata,"Fabricated Metal Products / Zapp Group Europe Precision in wire, bar, profile, sheet, and strip. Variety in ",3.2% growth,http://www.zapp.com,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,3.2,0.0,0.0,,,0,,,,,500000000,1000000000,,,,4061,12701280
FELSOMAT GmbH & Co. KG,DEU,Königsbach,254,vaccines,crustdata,Machinery Manufacturing / “We are experts in converting manufacturing technologies into series-ready produ,-4.150943396226415% growth,http://www.felsomat.de,,Tier 2,5,industry=2/3 capability=0/2 size=2/2 trigger=1/2,,-4.150943396226415,-0.78125,12.815626488804194,,,0,,,,,100000000,500000000,1981,,,4736,73946050
